Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
13,397,PIT,,Logan Ratledge,3B,23,/,"CO
                    
                    
                    North Carolina State","$100,000",-,"$100,000"
13,398,OAK,,Brett Siddall,OF,20,/,"CO
                    
                    
                    Canisius College (NY)","$100,000",-,"$100,000"
13,399,KC,,Travis Maezes,3B,21,/,"CO
                    
                    
                    Michigan","$100,000","$200,000","-$100,000"
13,400,DET,,Josh Lester,1B,21,L / R,"CO
                    
                    
                    Missouri","$100,000",-,"$100,000"
13,401,STL,,Craig Aikin,OF,21,/,"CO
                    
                    
                    Oklahoma","$100,000","$100,000",
13,402,LAD,,Michael Boyle,RP,21,R / L,"CO
                    
                    
                    Radford (VA)","$100,000",-,"$100,000"
13,403,BAL,,Cedric Mullins,CF,20,L / L,"CO
                    
                    
                    Campbell (NC)","$100,000","$100,000",
13,404,WSH,,Max Schrock,SS,20,L / R,"CO
                    
                    
                    South Carolina","$100,000","$500,000","-$400,000"
13,405,LAA,,Jeff Boehm,OF,22,/,"CO
                    
                    
                    Illinois-Chicago","$100,000",-,"$100,000"
14,406,ARI,,Luke Lowery,C,21,/,"CO
                    
                    
                    East Carolina (NC)","$100,000","$100,000",
14,407,COL,,Sam Thoele,RP,22,/,"CO
                    
                    
                    Arkansas-Little Rock","$100,000","$100,000",
14,408,TEX,,Adam Choplick,RP,22,/,"CO
                    
                    
                    Oklahoma","$100,000","$100,000",
14,409,HOU,,Johnny Sewald,OF,21,/,"CO
                    
                    
                    Arizona State","$100,000","$100,000",
14,410,MIN,,A.J. Murray,C,22,/,"CO
                    
                    
                    Georgia Tech","$100,000",-,"$100,000"
14,411,BOS,,Bobby Poyner,RP,22,L / L,"CO
                    
                    
                    Florida","$100,000","$10,000","$90,000"
14,412,CHW,,Tyler Sullivan,OF,22,L / L,"CO
                    
                    
                    University of the Pacific (CA)","$100,000",-,"$100,000"
14,413,CHC,,Jake Kelzer,P,22,/,"CO
                    
                    
                    Indiana","$100,000",Unsigned,
14,414,PHI,,Austin Bossart,C,22,/,"CO
                    
                    
                    Pennsylvania","$100,000",-,"$100,000"
14,415,CIN,,Austin Orewiler,P,22,/,"CO
                    
                    
                    Rice (TX)","$100,000",-,"$100,000"
14,416,MIA,,Jordan Hillyer,P,21,R / R,"CO
                    
                    
                    Kennesaw State","$100,000","$100,000",
14,417,SD,,Kyle Overstreet,C,21,/,"CO
                    
                    
                    Alabama","$100,000","$100,000",
14,418,TB,,Tyler Brashears,P,21,/,"CO
                    
                    
                    Hawaii-Manoa","$100,000",-,"$100,000"
14,419,NYM,,Vinny Siena,2B,21,/,"CO
                    
                    
                    Connecticut","$100,000","$100,000",
14,420,ATL,,Trey Keegan,C,22,R / R,"CO
                    
                    
                    Bowling Green (OH)","$100,000","$100,000",
14,421,MIL,,Tyrone Perry,1B,19,/,"HS
                    
                    
                    Lakeland HS (FL)","$100,000",-,"$100,000"
14,422,TOR,,Ryan Hissey,C,21,/,"CO
                    
                    
                    William & Mary (VA)","$100,000","$100,000",
14,423,NYY,,Will Carter,RP,22,/,"CO
                    
                    
                    Alabama","$100,000",-,"$100,000"
14,424,CLE,,Matt Esparza,SP,20,R / R,"CO
                    
                    
                    California-Irvine","$100,000","$100,000",
14,425,SEA,,Jio Orozco,P,17,/,"HS
                    
                    
                    Salpointe Catholic HS (AZ)","$100,000","$100,000",
14,426,SF,,Matt Winn,C,22,/,"CO
                    
                    
                    Virginia Military Institute","$100,000",-,"$100,000"
14,427,PIT,,Chris Plitt,P,20,/,"JC
                    
                    
                    South Mountain JC (AZ)","$100,000",-,"$100,000"
14,428,OAK,,Boomer Biegalski,P,21,/,"CO
                    
                    
                    Florida State","$100,000","$300,000","-$200,000"
14,429,KC,,Nick Dini,C,21,R / R,"CO
                    
                    
                    Wagner College (NY)","$100,000",-,"$100,000"
14,430,DET,,A.J. Simcox,SS,21,/,"CO
                    
                    
                    Tennessee","$100,000","$600,000","-$500,000"
14,431,STL,,Carson Cross,P,23,/,"CO
                    
                    
                    Connecticut","$100,000",-,"$100,000"
14,432,LAD,,Garrett Kennedy,C,22,/,"CO
                    
                    
                    Miami (FL)","$100,000","$100,000",
14,433,BAL,,Drew Turbin,2B,22,/,"CO
                    
                    
                    Dallas Baptist","$100,000",-,"$100,000"
14,434,WSH,,Mack Lemieux,P,18,L / L,"HS
                    
                    
                    Jupiter Community HS (FL)","$100,000",Unsigned,
14,435,LAA,,Ryan Vega,OF,18,/,"JC
                    
                    
                    El Paso JC (TX)","$100,000",-,"$100,000"
15,436,ARI,,Justin Donatella,P,20,R / R,"CO
                    
                    
                    California-San Diego","$100,000",-,"$100,000"
15,437,COL,,Sam Hilliard,OF,21,L / L,"CO
                    
                    
                    Wichita State (KS)","$100,000","$100,000",
15,438,TEX,,Nick Kaye,OF,18,/,"HS
                    
                    
                    Glendora HS (CA)","$100,000","$100,000",
15,439,HOU,,Pat Porter,OF,22,/,"CO
                    
                    
                    Ohio State","$100,000",-,"$100,000"
15,440,MIN,,Anthony McIver,RP,23,/,"CO
                    
                    
                    San Diego (CA)","$100,000",-,"$100,000"
15,441,BOS,,Jerry Downs,1B,21,/,"CO
                    
                    
                    St. Thomas (FL)","$100,000","$100,000",
15,442,CHW,,Chris Comito,SP,19,/,"HS
                    
                    
                    Norwalk HS (IA)","$100,000","$170,000","-$70,000"
15,443,CHC,,Scott Effross,RP,21,R / R,"CO
                    
                    
                    Indiana","$100,000","$100,000",
15,444,PHI,,Dylan Bosheers,SS,23,/,"CO
                    
                    
                    Tennessee Tech","$100,000",-,"$100,000"
15,445,CIN,,Blake Butler,2B,21,/,"CO
                    
                    
                    Charleston","$100,000","$100,000",
15,446,MIA,,Kyle Barrett,OF,21,/,"CO
                    
                    
                    Kentucky","$100,000",-,"$100,000"
15,447,SD,,Brad Zunica,1B,19,/,"JC
                    
                    
                    State JC of Florida","$100,000","$192,500","-$92,500"
15,448,TB,,Ethan Clark,P,20,/,"JC
                    
                    
                    Crowder JC (MO)","$100,000","$127,500","-$27,500"
15,449,NYM,,Thomas Hackimer,P,21,/,"CO
                    
                    
                    St. John's (NY)","$100,000",Unsigned,
15,450,ATL,,Bradley Keller,OF,18,/,"HS
                    
                    
                    Crest HS (NC)","$100,000","$150,000","-$50,000"
15,451,MIL,,Zach Taylor,C,19,/,"JC
                    
                    
                    Scottsdale JC (AZ)","$100,000",-,"$100,000"
15,452,TOR,,Jackson McClelland,P,21,R / R,"CO
                    
                    
                    Pepperdine","$100,000",-,"$100,000"
15,453,NYY,,Bret Marks,P,23,R / R,"CO
                    
                    
                    Tennessee","$100,000",-,"$100,000"
15,454,CLE,,Daniel Sprinkle,P,18,/,"HS
                    
                    
                    White Hall HS (AR)","$100,000",Unsigned,
15,455,SEA,,Ryne Inman,SP,19,/,"HS
                    
                    
                    Parkview HS (GA)","$100,000","$100,000",
15,456,SF,,Cody Brickhouse,C,18,/,"HS
                    
                    
                    Sarasota HS (FL)","$100,000","$130,000","-$30,000"
15,457,PIT,,Scooter Hightower,P,21,/,"JC
                    
                    
                    Columbia State JC (TN)","$100,000",-,"$100,000"
15,458,OAK,,Ryan Howell,2B,22,/,"CO
                    
                    
                    Nevada-Reno","$100,000",-,"$100,000"
15,459,KC,,Marquise Doherty,OF,18,/,"HS
                    
                    
                    Winnetonka HS (MO)","$100,000",Unsigned,
15,460,DET,,Keaton Jones,SS,22,/,"CO
                    
                    
                    Texas Christian","$100,000",-,"$100,000"
15,461,STL,,Ryan Merrill,SS,20,/,"JC
                    
                    
                    Iowa Western JC","$100,000",Unsigned,
15,462,LAD,,Garrett Zech,OF,18,/,"HS
                    
                    
                    Naples HS (FL)","$100,000",Unsigned,
15,463,BAL,,Chris Shaw,C,21,R / R,"CO
                    
                    
                    Oklahoma","$100,000","$100,000",
15,464,WSH,,Kevin Mooney,RP,20,/,"CO
                    
                    
                    Maryland","$100,000","$175,000","-$75,000"
15,465,LAA,,Nathan Bates,RP,21,/,"CO
                    
                    
                    Georgia State","$100,000","$100,000",
16,466,ARI,,Zach Nehrir,OF,22,/,"CO
                    
                    
                    Houston Christian","$100,000",-,"$100,000"
16,467,COL,,Ryan McCormick,P,21,/,"CO
                    
                    
                    St. John's","$100,000",-,"$100,000"
16,468,TEX,,Tyler Phillips,P,17,R / R,"HS
                    
                    
                    Bishop Eustace Prep School (NJ)","$100,000",-,"$100,000"
16,469,HOU,,Adam Whitt,RP,22,/,"CO
                    
                    
                    Nevada","$100,000",-,"$100,000"
16,470,MIN,,Lean Marrero,OF,17,/,"HS
                    
                    
                    Leadership Christian Academy (PR)","$100,000","$100,000",
16,471,BOS,,Marc Brakeman,RP,21,/,"CO
                    
                    
                    Stanford (CA)","$100,000","$225,000","-$125,000"
16,472,CHW,,Brandon Quintero,RP,21,/,"CO
                    
                    
                    California-Los Angeles","$100,000",-,"$100,000"
16,473,CHC,,Michael Foster,2B,21,/,"CO
                    
                    
                    Northeastern (MA)","$100,000",-,"$100,000"
16,474,PHI,,Brendon Hayden,1B,22,/,"CO
                    
                    
                    Virginia Tech","$100,000",-,"$100,000"
16,475,CIN,,Jake Johnson,P,22,/,"CO
                    
                    
                    Southeastern Louisiana","$100,000",-,"$100,000"
16,476,MIA,,Justin Langley,P,20,/,"CO
                    
                    
                    Wisconsin-Milwaukee","$100,000",-,"$100,000"
16,477,SD,,Elliot Ashbeck,RP,21,/,"CO
                    
                    
                    Bradley (IL)","$100,000",-,"$100,000"
16,478,TB,,Joe Davis,1B,18,/,"HS
                    
                    
                    James Bowie HS (TX)","$100,000",Unsigned,
16,479,NYM,,Dillon Becker,RP,21,/,"CO
                    
                    
                    Angelo State (TX)","$100,000","$100,000",
16,480,ATL,,Trevor Belicek,P,22,/,"CO
                    
                    
                    Texas A&M","$100,000",-,"$100,000"
16,481,MIL,,Conor Harber,P,21,/,"CO
                    
                    
                    Oregon","$100,000","$115,000","-$15,000"
16,482,TOR,,Christian Williams,1B,20,/,"JC
                    
                    
                    Gulf Coast State JC (FL)","$100,000","$200,000","-$100,000"
16,483,NYY,,Kolton Mahoney,P,23,/,"CO
                    
                    
                    Brigham Young (UT)","$100,000",-,"$100,000"
16,484,CLE,,Cobie Fletcher-Vance,SS,17,/,"HS
                    
                    
                    Pine Forest HS (NC)","$100,000",Unsigned,
16,485,SEA,,Ricky Eusebio,OF,21,/,"CO
                    
                    
                    Miami (FL)","$100,000","$100,000",
16,486,SF,,Grant Wilson,SP,22,/,"CO
                    
                    
                    California-Los Angeles","$100,000",-,"$100,000"
16,487,PIT,,Nick Hibbing,RP,22,/,"CO
                    
                    
                    Iowa","$100,000",-,"$100,000"
16,488,OAK,,Dustin Hurlbutt,P,22,/,"CO
                    
                    
                    Tabor College (KS)","$100,000",-,"$100,000"
16,489,KC,,Matt Ditman,RP,22,/,"CO
                    
                    
                    Rice (TX)","$100,000","$100,000",
16,490,DET,,Alec Kisena,SP,19,/,"JC
                    
                    
                    Edmonds JC (WA)","$100,000","$100,000",
16,491,STL,,Max Almonte,RP,23,/,"CO
                    
                    
                    Villanova (PA)","$100,000",-,"$100,000"
16,492,LAD,,Nolan Long,RP,21,R / R,"CO
                    
                    
                    Wagner College (NY)","$100,000","$100,000",
16,493,BAL,,Mike Odenwaelder,OF,22,/,"CO
                    
                    
                    Amherst College (MA)","$100,000",-,"$100,000"
16,494,WSH,,Ian Sagdal,SS,22,/,"CO
                    
                    
                    Washington State","$100,000",-,"$100,000"
16,495,LAA,,Nate Bertness,P,19,/,"JC
                    
                    
                    McLennan JC (TX)","$100,000","$100,000",
17,496,ARI,,Austin Mason,RP,21,/,"CO
                    
                    
                    The Citadel","$100,000","$100,000",
17,497,COL,,Collin Ferguson,1B,22,/,"CO
                    
                    
                    Saint Mary's College (CA)","$100,000",-,"$100,000"
17,498,TEX,,Tyler Sanchez,C,22,/,"CO
                    
                    
                    St. John's","$100,000",-,"$100,000"
17,499,HOU,,Justin Garcia,OF,21,/,"CO
                    
                    
                    Nova Southeastern","$100,000",-,"$100,000"
17,500,MIN,,Nate Gercken,RP,22,/,"CO
                    
                    
                    Academy of Art (CA)","$100,000",-,"$100,000"
17,501,BOS,,Chad De La Guerra,2B,22,/,"CO
                    
                    
                    Grand Canyon","$100,000",-,"$100,000"
17,502,CHW,,Sikes Orvis,1B,22,/,"CO
                    
                    
                    Mississippi","$100,000",-,"$100,000"
17,503,CHC,,Casey Bloomquist,P,21,/,"CO
                    
                    
                    Cal Poly-San Luis Obispo","$100,000","$100,000",
17,504,PHI,,Kenny Koplove,SS,21,/,"CO
                    
                    
                    Duke (NC)","$100,000",-,"$100,000"
17,505,CIN,,J.D. Williams,OF,18,/,"HS
                    
                    
                    David Suzuki SS (ON)","$100,000","$100,000",
17,506,MIA,,Max Whitt,SS,23,/,"CO
                    
                    
                    Lewis-Clark State","$100,000",-,"$100,000"
17,507,SD,,Trey Wingenter,RP,21,R / R,"CO
                    
                    
                    Auburn (AL)","$100,000","$100,000",
17,508,TB,,Brett Sullivan,C,21,L / R,"CO
                    
                    
                    University of the Pacific (CA)","$100,000",-,"$100,000"
17,509,NYM,,Sixto Torres,P,19,/,"HS
                    
                    
                    Faith Baptist Christian School (FL)","$100,000","$100,000",
17,510,ATL,,Evan Phillips,RP,20,R / R,"CO
                    
                    
                    North Carolina Wilmington","$100,000","$100,000",
17,511,MIL,,Michael Petersen,P,21,R / R,"JC
                    
                    
                    Riverside JC (CA)","$100,000","$100,000",
17,512,TOR,,Chandler Eden,P,19,/,"JC
                    
                    
                    Yavapai JC (AZ)","$100,000",Unsigned,
17,513,CHW,,Brody Koerner,P,21,R / R,"CO
                    
                    
                    Clemson (SC)","$100,000",-,"$100,000"
17,514,CLE,,Nick Madrigal,2B,18,R / R,"HS
                    
                    
                    Elk Grove HS (CA)","$100,000",Unsigned,
17,515,SEA,,Joe Pistorese,P,22,/,"CO
                    
                    
                    Washington State","$100,000",-,"$100,000"
17,516,SF,,Cameron Avila-Leeper,RP,19,/,"JC
                    
                    
                    San Joaquin Delta JC (CA)","$100,000",-,"$100,000"
17,517,PIT,,Austin Sodders,P,20,/,"JC
                    
                    
                    Riverside City JC (CA)","$100,000",Unsigned,
17,518,OAK,,Brent Wheatley,P,21,/,"CO
                    
                    
                    Southern California","$100,000",Unsigned,
17,519,KC,,Matt Portland,P,21,/,"CO
                    
                    
                    Northwestern","$100,000","$100,000",
17,520,DET,,Grant Wolfram,P,18,L / L,"HS
                    
                    
                    Hamilton HS (MI)","$100,000",Unsigned,
17,521,STL,,Chris Chinea,C,21,/,"CO
                    
                    
                    Louisiana State","$100,000","$100,000",
17,522,LAD,,Jason Goldstein,C,21,/,"CO
                    
                    
                    Illinois-Urbana","$100,000",Unsigned,
17,523,BAL,,Branden Becker,3B,18,/,"HS
                    
                    
                    Cajon HS (CA)","$100,000","$100,000",
17,524,WSH,,Dalton Dulin,2B,21,/,"JC
                    
                    
                    Northwest Mississippi JC","$100,000",-,"$100,000"
17,525,LAA,,Sam Pastrone,SP,18,/,"HS
                    
                    
                    Arbor View HS (NV)","$100,000","$250,000","-$150,000"
18,526,ARI,,Daniel Comstock,C,21,/,"CO
                    
                    
                    Menlo College","$100,000","$100,000",
18,527,COL,,Chris Keck,3B,22,/,"CO
                    
                    
                    California-Los Angeles","$100,000",-,"$100,000"
18,528,LAD,,Jason Richman,P,21,/,"CO
                    
                    
                    Georgia Southern","$100,000",-,"$100,000"
18,529,HOU,,Kevin Martir,C,21,/,"CO
                    
                    
                    Maryland","$100,000","$100,000",
18,530,MIN,,Daniel Kihle,OF,21,/,"CO
                    
                    
                    Wichita State (KS)","$100,000",-,"$100,000"
18,531,BOS,,James Nelson,SS,17,/,"HS
                    
                    
                    Redan HS (GA)","$100,000",Unsigned,
18,532,CHW,,Dante Flores,2B,22,/,"CO
                    
                    
                    Southern California","$100,000",-,"$100,000"
18,533,CHC,,John Cresto,3B,18,/,"HS
                    
                    
                    Cathedral Catholic HS (CA)","$100,000",Unsigned,
18,534,PHI,,Greg Brodzinski,C,23,/,"CO
                    
                    
                    Barry (FL)","$100,000",-,"$100,000"
18,535,CIN,,Isaac Anesty,RP,18,/,"HS
                    
                    
                    Our Lady of Lourdes HS (ON)","$100,000","$200,000","-$100,000"
18,536,MIA,,Kyle Keller,P,22,R / R,"CO
                    
                    
                    Southeastern Louisiana","$100,000",-,"$100,000"
18,537,SD,,Justin Harrer,3B,18,/,"HS
                    
                    
                    Sisters HS (OR)","$100,000",Unsigned,
18,538,TB,,Landon Cray,OF,21,/,"CO
                    
                    
                    Seattle (WA)","$100,000",-,"$100,000"
18,539,NYM,,Jordan Humphreys,P,19,R / R,"HS
                    
                    
                    Crystal River HS (FL)","$100,000","$150,000","-$50,000"
18,540,ATL,,Gilbert Suarez,RP,18,/,"HS
                    
                    
                    San Ysidro HS (CA)","$100,000","$100,000",
18,541,MIL,,Gentry Fortuno,P,18,/,"HS
                    
                    
                    Charles W. Flanagan HS (FL)","$100,000",-,"$100,000"
18,542,TOR,,Geno Encina,P,21,/,"CO
                    
                    
                    University of the Incarnate Word","$100,000",-,"$100,000"
18,543,NYY,,Zack Zehner,LF,22,/,"CO
                    
                    
                    California State Poly-San Luis Obis...","$100,000",-,"$100,000"
18,544,CLE,,Anthony Miller,1B,20,L / R,"JC
                    
                    
                    Johnson County JC (KS)","$100,000","$100,000",
18,545,SEA,,Anthony Misiewicz,RP,20,R / L,"CO
                    
                    
                    Michigan State","$100,000","$70,000","$30,000"
18,546,SF,,Heath Slatton,RP,21,/,"CO
                    
                    
                    Tennessee State","$100,000",-,"$100,000"
18,547,PIT,,Stephan Meyer,SP,21,/,"CO
                    
                    
                    Bellevue (NE)","$100,000",-,"$100,000"
18,548,OAK,,Brett Sunde,C,20,R / R,"CO
                    
                    
                    Western Michigan","$100,000",-,"$100,000"
18,549,KC,,Brian Bayliss,P,20,/,"CO
                    
                    
                    St. Joseph's College (IN)","$100,000",-,"$100,000"
18,550,DET,,Joey Havrilak,OF,23,/,"CO
                    
                    
                    Akron (OH)","$100,000",-,"$100,000"
18,551,STL,,Josh Rolette,C,19,/,"HS
                    
                    
                    Shawnee HS (OK)","$100,000",Unsigned,
18,552,LAD,,Chris Godinez,2B,22,/,"CO
                    
                    
                    Bradley (IL)","$100,000",-,"$100,000"
18,553,BAL,,Nick Vespi,SP,19,L / L,"JC
                    
                    
                    Palm Beach State JC (FL)","$100,000","$100,000",
18,554,WSH,,Melvin Rodriguez,2B,24,L / R,"CO
                    
                    
                    Jackson State","$100,000",-,"$100,000"
18,555,LAA,,Travis Herrin,P,20,/,"JC
                    
                    
                    Wabash Valley JC (IL)","$100,000","$170,000","-$70,000"
19,556,ARI,,Jacy Cave,OF,20,/,"JC
                    
                    
                    New Mexico JC","$100,000",-,"$100,000"
19,557,COL,,Daniel Koger,P,21,/,"CO
                    
                    
                    Alabama-Huntsville","$100,000",-,"$100,000"
19,558,TEX,,Xavier Turner,3B,21,/,"CO
                    
                    
                    Vanderbilt (TN)","$100,000",-,"$100,000"
19,559,HOU,,Drew Ferguson,CF,22,R / R,"CO
                    
                    
                    Belmont (TN)","$100,000",-,"$100,000"
19,560,MIN,,Kyle Wilson,P,18,/,"HS
                    
                    
                    Raymore-Peculiar HS (MO)","$100,000",Unsigned,
19,561,BOS,,Logan Boyd,P,21,/,"CO
                    
                    
                    Sam Houston State (TX)","$100,000",-,"$100,000"
19,562,CHW,,Frank Califano,OF,21,/,"CO
                    
                    
                    Youngstown State (OH)","$100,000",-,"$100,000"
19,563,CHC,,Kyle Miller,P,21,/,"CO
                    
                    
                    Florida Atlantic","$100,000","$100,000",
19,564,PHI,,Rob Tasin,RP,23,/,"CO
                    
                    
                    Oklahoma","$100,000",-,"$100,000"
19,565,CIN,,Mike Salvatore,SS,18,/,"CO
                    
                    
                    Florida State","$100,000",Unsigned,
19,566,MIA,,Curt Britt,RP,22,/,"CO
                    
                    
                    North Carolina State","$100,000","$100,000",
19,567,SD,,Alan Garcia,OF,18,/,"HS
                    
                    
                    Mountain Pointe HS (AZ)","$100,000","$220,000","-$120,000"
19,568,TB,,Porter Clayton,RP,22,/,"CO
                    
                    
                    Utah Tech","$100,000",-,"$100,000"
19,569,NYM,,Nic Enright,RP,18,/,"HS
                    
                    
                    The Steward School (VA)","$100,000",Unsigned,
19,570,ATL,,Sean McLaughlin,RP,21,L / R,"CO
                    
                    
                    Georgia","$100,000","$100,000",
19,571,MIL,,Steven Karkenny,DH,22,/,"CO
                    
                    
                    The Master's University","$100,000",-,"$100,000"
19,572,TOR,,John La Prise,2B,21,/,"CO
                    
                    
                    Virginia","$100,000",-,"$100,000"
19,573,NYY,,Mark Seyler,P,21,/,"CO
                    
                    
                    San Diego State (CA)","$100,000","$100,000",
19,574,CLE,,Todd Isaacs,OF,19,/,"JC
                    
                    
                    Palm Beach State JC (FL)","$100,000","$100,000",
19,575,SEA,,P.J. Jones,C,22,/,"CO
                    
                    
                    Washington State","$100,000",-,"$100,000"
19,576,SF,,David Owen,RP,21,/,"CO
                    
                    
                    Arkansas State","$100,000",-,"$100,000"
19,577,PIT,,Ike Schlabach,P,18,/,"HS
                    
                    
                    Timber Creek HS (TX)","$100,000","$150,000","-$50,000"
19,578,OAK,,Seth Brown,1B,23,L / L,"CO
                    
                    
                    Lewis-Clark State (ID)","$100,000","$75,000","$25,000"
19,579,KC,,Emmanuel Rivera,3B,19,R / R,"CO
                    
                    
                    Universidad Interamericana (PR)","$100,000",-,"$100,000"
19,580,DET,,Cam Vieaux,P,22,L / L,"CO
                    
                    
                    Michigan State","$100,000",Unsigned,
19,581,STL,,Ryan McCarvel,C,20,/,"CO
                    
                    
                    Howard","$100,000","$100,000",
19,582,LAD,,Joe Genord,1B,18,/,"HS
                    
                    
                    Park Vista Community HS (FL)","$100,000",Unsigned,
19,583,BAL,,Jerry McClanahan,C,23,/,"CO
                    
                    
                    California-Irvine","$100,000",-,"$100,000"
19,584,WSH,,Clayton Brandt,SS,22,/,"CO
                    
                    
                    MidAmerica Nazarene","$100,000",-,"$100,000"
19,585,LAA,,Aaron Cox,P,20,/,"CO
                    
                    
                    Gannon","$100,000",-,
20,586,ARI,,Will Lowman,RP,20,/,"CO
                    
                    
                    Kennesaw State","$100,000",-,"$100,000"
20,587,COL,,Bobby Stahel,OF,22,/,"CO
                    
                    
                    Southern California","$100,000",-,"$100,000"
20,588,TEX,,Luke Shilling,P,17,/,"HS
                    
                    
                    Notre Dame HS (MI)","$100,000",Unsigned,
20,589,HOU,,Makay Nelson,P,20,/,"JC
                    
                    
                    JC of Southern Idaho","$100,000",-,"$100,000"
20,590,MIN,,Colton Eastman,P,18,/,"HS
                    
                    
                    Central HS (CA)","$100,000",Unsigned,
20,591,BOS,,Yomar Valentin,SS,17,/,"HS
                    
                    
                    Puerto Rico Baseball Academy (PR)","$100,000",-,"$100,000"
20,592,CHW,,Jacob Cooper,C,19,/,"JC
                    
                    
                    Modesto JC (CA)","$100,000",-,"$100,000"
20,593,CHC,,Blake Headley,3B,22,/,"CO
                    
                    
                    Nebraska-Lincoln","$100,000",-,"$100,000"
20,594,PHI,,Will Stewart,SP,18,/,"HS
                    
                    
                    Hazel Green HS (AL)","$100,000",-,"$100,000"
20,595,CIN,,Rock Rucker,RP,22,/,"CO
                    
                    
                    Auburn-Montgomery (AL)","$100,000",-,"$100,000"
20,596,MIA,,Korey Dunbar,C,21,R / R,"CO
                    
                    
                    North Carolina","$100,000","$100,000",
20,597,SD,,Phil Maton,RP,22,R / R,"CO
                    
                    
                    Louisiana Tech","$100,000",-,"$100,000"
20,598,TB,,Edrick Agosto,P,18,/,JC,"$100,000",-,"$100,000"
20,599,NYM,,Thomas McIlraith,RP,21,/,"CO
                    
                    
                    Oklahoma","$100,000",-,"$100,000"
20,600,ATL,,Jaret Hellinger,P,18,/,"HS
                    
                    
                    Ola HS (GA)","$100,000","$300,000","-$200,000"
20,601,MIL,,David Lucroy,P,22,/,"CO
                    
                    
                    East Carolina (NC)","$100,000",-,"$100,000"
20,602,TOR,,Tyler Burden,OF,21,/,"CO
                    
                    
                    Chowan","$100,000",-,"$100,000"
20,603,NYY,,Isiah Gilliam,OF,18,/,"JC
                    
                    
                    Chipola JC (FL)","$100,000","$550,000","-$450,000"
20,604,CLE,,Luke Wakamatsu,SS,18,/,"HS
                    
                    
                    Keller HS (TX)","$100,000","$290,000","-$190,000"
20,605,SEA,,Parker McFadden,P,18,/,"HS
                    
                    
                    Yelm HS (WA)","$100,000",Unsigned,
20,606,SF,,Travis Eckert,P,21,/,"CO
                    
                    
                    Oregon State","$100,000",Unsigned,
20,607,PIT,,Tanner Anderson,RP,22,R / R,"CO
                    
                    
                    Harvard (MA)","$100,000",-,"$100,000"
20,608,OAK,,James Naile,RP,22,/,"CO
                    
                    
                    Alabama","$100,000",-,"$100,000"
20,609,LAD,,Junior Harding,P,18,/,"JC
                    
                    
                    Chipola JC (FL)","$100,000",Unsigned,
20,610,DET,,Logan Longwith,P,21,/,"CO
                    
                    
                    Tennessee Wesleyan","$100,000",-,"$100,000"
20,611,STL,,Luke Doyle,3B,20,/,"JC
                    
                    
                    Yavapai JC (AZ)","$100,000",-,"$100,000"
20,612,LAD,,John Boushelle,RP,18,/,"HS
                    
                    
                    Fayetteville HS (AR)","$100,000",Unsigned,
20,613,BAL,,Adam Walton,SS,21,/,"CO
                    
                    
                    Illinois-Urbana","$100,000",Unsigned,
20,614,WSH,,John Clay Reeves,C,23,/,"CO
                    
                    
                    Rice (TX)","$100,000",Unsigned,
20,615,LAA,,Kenny Towns,3B,22,/,"CO
                    
                    
                    Virginia","$100,000",-,"$100,000"
21,616,ARI,,Alexis Olmeda,C,21,/,"JC
                    
                    
                    Yavapai JC (AZ)","$100,000",-,"$100,000"
21,617,COL,,Logan Cozart,RP,22,/,"CO
                    
                    
                    Ohio","$100,000",-,"$100,000"
21,618,TEX,,Joenny Vazquez,C,18,/,"HS
                    
                    
                    Educational Technical College (PR)","$100,000",-,"$100,000"
21,619,HOU,,Alex Winkelman,P,21,/,"CO
                    
                    
                    Southeast Missouri State","$100,000",-,"$100,000"
21,620,MIN,,Kamran Young,OF,22,/,"CO
                    
                    
                    Cal State-Dominguez Hills","$100,000",-,"$100,000"
21,621,BOS,,Danny Zandona,RP,22,/,"CO
                    
                    
                    Cal Poly-San Luis Obispo","$100,000",-,"$100,000"
21,622,CHW,,Landon Lassiter,OF,22,R / R,"CO
                    
                    
                    North Carolina","$100,000","$100,000",
21,623,CHC,,Jared Cheek,RP,22,/,"CO
                    
                    
                    Georgia","$100,000",-,"$100,000"
21,624,PHI,,Kevin Walsh,RP,23,/,"CO
                    
                    
                    Arkansas-Pine Bluff","$100,000",-,"$100,000"
21,625,CIN,,Satchel McElroy,OF,18,/,"HS
                    
                    
                    Clear Creek HS (TX)","$100,000","$100,000",
21,626,MIA,,Giovanny Alfonzo,SS,22,/,"CO
                    
                    
                    Tampa (FL)","$100,000",-,"$100,000"
21,627,SD,,Nick Monroe,RP,21,/,"CO
                    
                    
                    North Carolina-Wilmington","$100,000","$100,000",
21,628,TB,,Matt Dacey,3B,21,/,"CO
                    
                    
                    Richmond","$100,000",-,"$100,000"
21,629,NYM,,Taylor Henry,RP,22,/,"CO
                    
                    
                    Centenary College (LA)","$100,000",-,"$100,000"
21,630,ATL,,Kurt Hoekstra,2B,22,/,"CO
                    
                    
                    Western Michigan","$100,000",-,"$100,000"
21,631,MIL,,Jon Olczak,P,21,/,"CO
                    
                    
                    North Carolina State","$100,000",-,"$100,000"
21,632,TOR,,Tayler Saucedo,RP,22,L / L,"CO
                    
                    
                    Tennessee Wesleyan","$100,000",-,"$100,000"
