Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
36,1071,BOS,,Trevor Kelley,RP,22,R / R,"CO
                    
                    
                    North Carolina","$100,000",-,"$100,000"
36,1072,CHW,,Michael Hickman,C,18,/,"HS
                    
                    
                    Seven Lakes HS (TX)","$100,000",Unsigned,
36,1073,CHC,,Alonzo Jones,OF,18,/,"HS
                    
                    
                    Columbus HS (GA)","$100,000",Unsigned,
36,1074,PHI,,Gabe Gonzalez,P,18,/,"JC
                    
                    
                    JC of Southern Nevada","$100,000",Unsigned,
36,1075,CIN,,Mitchell Tripp,RP,22,/,"CO
                    
                    
                    Central Florida","$100,000",-,"$100,000"
36,1076,MIA,,Gunnar Kines,SP,21,/,"CO
                    
                    
                    Mount Olive (NC)","$100,000",-,"$100,000"
36,1077,SD,,Alex Webb,P,21,/,"CO
                    
                    
                    British Columbia (B.C.)","$100,000",Unsigned,
36,1078,TB,,Bryan Bonnell,RP,21,/,"CO
                    
                    
                    Nevada-Las Vegas","$100,000",-,"$100,000"
36,1079,NYM,,Anthony Gordon,OF,17,/,"HS
                    
                    
                    Terra Nova HS (CA)","$100,000",Unsigned,
36,1080,ATL,,Luis Lopez,2B,17,/,"HS
                    
                    
                    Notre Dame HS (PR)","$100,000",Unsigned,
36,1081,MIL,,Jordan Desguin,P,21,/,"CO
                    
                    
                    Florida Gulf Coast","$100,000",-,"$100,000"
36,1082,TOR,,Lance Jones,OF,22,/,"CO
                    
                    
                    Southern University and A&M College","$100,000",-,"$100,000"
36,1083,NYY,,Dustin Cook,RP,21,/,"CO
                    
                    
                    Oklahoma City (OK)","$100,000",-,"$100,000"
36,1084,CLE,,Ryan Colegate,P,21,/,"CO
                    
                    
                    Ohio Dominican","$100,000",-,"$100,000"
36,1085,SEA,,Matt Walker,RP,20,/,"JC
                    
                    
                    Weatherford JC (TX)","$100,000","$100,000",
36,1086,SF,,Brendon Little,RP,18,/,"HS
                    
                    
                    Conestoga HS (PA)","$100,000",Unsigned,
36,1087,PIT,,James Marvel,SP1,21,R / R,"CO
                    
                    
                    Duke (NC)","$100,000",-,
36,1088,OAK,,Troy Rallings,P,21,/,"CO
                    
                    
                    Washington","$100,000",Unsigned,
36,1089,KC,,Tanner Stanley,OF,21,/,"CO
                    
                    
                    Richmond","$100,000",-,"$100,000"
36,1090,DET,,Daniel Pinero,SS,21,/,"CO
                    
                    
                    Virginia","$100,000",Unsigned,
36,1091,STL,,Dylan Tice,2B,22,/,"CO
                    
                    
                    West Chester (PA)","$100,000",-,"$100,000"
36,1092,LAD,,Drayton Riekenberg,RP,21,/,"CO
                    
                    
                    Fresno City College","$100,000",Unsigned,
36,1093,BAL,,Xavier Borde,RP,22,/,"CO
                    
                    
                    Arizona","$100,000",-,"$100,000"
36,1094,WSH,,Taylor Bush,SS,18,/,"HS
                    
                    
                    Linfield Christian School (CA)","$100,000",Unsigned,
36,1095,LAA,,Sam McDonnell,OF,19,/,"JC
                    
                    
                    Navarro JC (TX)","$100,000",-,"$100,000"
37,1096,ARI,,Max Brown,OF,22,/,"CO
                    
                    
                    Kansas State","$100,000",-,"$100,000"
